,City Name,City ID,Temperature (F),Humidity (%),Cloudiness (%),Wind (mph),Latitude,Longitude
0,Vaini,4032243,80.6,83,90,6.17,-21.2,-175.2
1,Temyasovo,483650,6.800000000000001,92,90,3.0,52.9933,58.1014
2,Kruisfontein,986717,55.004000000000055,91,0,2.18,-34.0033,24.7314
3,Port Elizabeth,964420,57.2,88,0,2.06,-33.918,25.5701
4,Qaanaaq,3831208,-13.323999999999963,63,0,2.33,77.484,-69.3632
5,Rikitea,4030556,80.18600000000006,72,24,4.39,-23.1203,-134.9692
6,Longyearbyen,2729907,-0.39999999999994884,50,20,10.8,78.2186,15.6401
7,Hilo,5855927,67.658,83,90,3.09,19.7297,-155.09
8,Manggar,1636426,83.408,71,100,6.33,-2.8833,108.2667
9,Punta Arenas,3874787,46.202000000000076,81,20,6.17,-53.15,-70.9167
10,Cherskiy,2126199,-35.12199999999993,83,7,1.28,68.75,161.3
11,Ushuaia,3833367,42.8,75,40,7.72,-54.8,-68.3
12,Albany,5106841,6.206000000000028,50,6,1.34,42.6001,-73.9662
13,Jishou,1805270,47.912000000000056,74,100,0.26,28.3167,109.7167
14,Faanui,4034551,81.23000000000005,67,100,2.13,-16.4833,-151.75
15,Khandyga,2022773,-44.08599999999997,75,84,0.38,62.6667,135.6
16,Carnarvon,2074865,107.6,19,0,7.72,-24.8667,113.6333
17,Petropavlovsk-Kamchatskiy,2122104,26.6,50,40,7.0,53.0452,158.6483
18,Busselton,2075265,82.34600000000005,40,0,2.68,-33.65,115.3333
19,Chicama,3698359,72.96800000000009,70,79,2.28,-7.8447,-79.1469
20,Jamestown,5122534,18.518000000000086,73,90,6.17,42.097,-79.2353
21,Port Alfred,964432,66.00200000000008,82,15,3.0,-33.5906,26.891
22,Tuatapere,2180815,64.65200000000007,50,0,3.09,-46.1333,167.6833
23,Sisimiut,3419842,7.610000000000081,87,2,4.44,66.9395,-53.6735
24,Nikolskoye,546105,29.372000000000035,93,90,4.0,59.7035,30.7861
25,Mataura,6201424,68.77400000000002,39,0,0.68,-46.1927,168.8643
26,Wembley,2058682,88.43000000000004,23,0,7.72,-31.9333,115.8
27,Tuktoyaktuk,6170031,-36.39999999999995,67,1,1.03,69.4541,-133.0374
28,Yellowknife,6185377,-19.317999999999984,76,1,2.57,62.456,-114.3525
29,East London,1006984,69.74600000000005,72,38,1.53,-33.0153,27.9116
30,Dekar,933815,68.36000000000008,90,100,2.76,-21.5333,21.9333
31,Puerto Escondido,3520994,78.8,83,40,3.09,15.85,-97.0667
32,Kloulklubed,7671223,86.0,62,75,6.17,7.0419,134.2556
33,Haines Junction,5969025,-11.199999999999946,84,100,0.72,60.7522,-137.5108
34,Marrakesh,2542997,51.8,71,0,2.06,31.6315,-8.0083
35,Goundam,2456917,66.61400000000003,23,0,5.0,16.4145,-3.6708
36,Logon,1705804,79.64600000000004,78,97,10.42,11.3303,124.1146
37,Adrar,2381972,61.268000000000086,28,0,4.46,20.5022,-10.0711
38,Cap Malheureux,934649,84.00200000000008,73,1,3.13,-19.9842,57.6142
39,Sigli,1213821,81.59000000000002,73,100,5.08,5.3848,95.9609
40,Sinnamary,3380290,76.92800000000007,88,92,5.85,5.3833,-52.95
41,Cape Town,3369157,65.94800000000002,94,75,1.54,-33.9258,18.4232
42,Praia da Vitória,3372760,59.0,82,20,7.83,38.7333,-27.0667
43,Fortuna,5563839,47.12000000000006,76,90,5.66,40.5982,-124.1573
44,Butaritari,2110227,80.56400000000004,77,99,6.65,3.0707,172.7902
45,Mar del Plata,3430863,64.292,94,75,2.06,-38.0023,-57.5575
46,West Wendover,5710035,39.2,56,90,7.72,40.7391,-114.0733
47,Fundão,3462882,77.0,83,20,3.09,-19.9341,-40.4047
48,Avarua,4035715,80.6,83,90,3.09,-21.2078,-159.775
49,Ribeira Grande,3372707,61.412000000000056,83,94,11.14,38.5167,-28.7
50,Hong Kong,1819729,64.184,65,0,0.89,22.2855,114.1577
51,Port Lincoln,2063036,67.47800000000007,57,22,6.89,-34.7333,135.8667
52,Bredasdorp,1015776,62.00600000000003,89,93,1.97,-34.5322,20.0403
53,Port Hedland,2063042,95.0,46,75,4.63,-20.3167,118.5667
54,Río Cuarto,3838874,66.99199999999999,92,92,1.79,-33.1307,-64.3499
55,Atuona,4020109,78.49400000000007,79,19,8.55,-9.8,-139.0333
56,Borba,3405051,74.3,96,98,0.85,-4.3878,-59.5939
57,Hermanus,3366880,62.00600000000003,89,63,1.56,-34.4187,19.2345
58,Broome,5110365,7.880000000000042,85,90,2.57,42.2506,-75.833
59,Örnsköldsvik,2686469,5.0,85,93,2.06,63.2909,18.7153
60,Gizo Government Station,2108857,86.82800000000006,72,29,6.4,-8.103,156.8419
61,Gobabis,3357247,71.16800000000009,67,98,2.22,-22.45,18.9667
62,Hithadhoo,1282256,81.87800000000007,76,78,5.73,-0.6,73.0833
63,Bluff,2206939,54.23000000000004,75,0,6.81,-46.6,168.3333
64,Nanortalik,3421765,32.39600000000005,91,99,3.59,60.1432,-45.2371
65,Jasper,4392354,47.15600000000003,53,1,8.23,37.2001,-94.3502
66,Kahului,5847411,69.22400000000002,73,40,7.72,20.8947,-156.47
67,Kumul,1529484,28.52600000000009,78,0,0.5,42.8,93.45
68,Puerto Ayora,3652764,77.0,94,38,2.24,-0.7393,-90.3518
69,Marabu,1738050,87.40400000000005,74,40,4.12,4.4148,114.0089
70,Rāwah,92004,44.22200000000004,68,14,3.64,34.4816,41.9093
71,Rulenge,150436,58.01000000000008,93,100,1.04,-2.7175,30.6325
72,Mossamedes,3347019,73.61600000000001,78,100,3.77,-15.1961,12.1522
73,Taku,1793424,39.2,28,0,3.0,39.0211,117.6469
74,Fare,4034496,81.12200000000004,66,85,1.75,-16.7,-151.0167
75,Vila Franca do Campo,3372472,58.478000000000065,94,20,4.12,37.7167,-25.4333
76,Chokurdakh,2126123,-27.903999999999954,85,100,3.93,70.6333,147.9167
77,Kursavka,538582,35.312000000000054,93,90,3.0,44.4564,42.5093
78,Ganzhou,1810637,50.93600000000007,49,100,0.79,28.8184,115.4327
79,Ilulissat,3423146,1.3999999999999986,55,0,3.09,69.2167,-51.1
80,São Geraldo do Araguaia,3388760,73.41800000000009,91,92,1.17,-6.4006,-48.555
81,Saint-Philippe,935215,80.63600000000007,48,0,2.57,-21.3585,55.7679
82,Umluj,100926,62.258,50,0,4.7,25.0213,37.2685
83,Atar,2381334,64.65200000000007,27,47,5.17,20.5169,-13.0499
84,Yangi Marg`ilon,1513491,30.2,55,56,2.06,40.4272,71.7189
85,Laguna,5364271,43.070000000000064,87,1,1.54,38.421,-121.4238
86,Saskylakh,2017155,-37.69599999999994,76,0,1.46,71.9167,114.0833
87,Idritsa,557588,25.574000000000012,98,96,3.87,56.3316,28.8988
88,Walvis Bay,3359638,65.66000000000008,82,12,3.6,-22.9575,14.5053
89,Yima,1786676,46.99400000000007,44,88,6.45,34.7381,111.8839
90,Padang,1633419,84.2,70,40,1.54,-0.9492,100.3543
91,Ikorodu,2344082,79.41200000000006,85,62,3.18,6.6191,3.5041
92,Bilma,2446796,57.57800000000007,31,33,2.88,18.6853,12.9164
93,Hobart,2163355,69.458,50,75,5.14,-42.8794,147.3294
94,Nouadhibou,2377457,67.22600000000008,49,10,6.99,20.931,-17.0347
95,Carutapera,3402648,79.41200000000006,82,99,4.02,-1.195,-46.02
96,Bentiu,377472,67.51400000000004,22,54,2.4,9.2333,29.8333
97,Kuito,3348078,57.272000000000034,88,97,1.29,-12.3833,16.9333
98,Galesong,1644605,84.2,84,40,4.12,-5.3166,119.3661
99,Malbork,3092472,26.383999999999993,100,100,2.17,54.0359,19.0266
100,Hirara,1862505,64.4,52,40,4.63,24.8,125.2833
101,La Ronge,6050066,8.600000000000001,85,75,1.54,55.1001,-105.2842
102,Rūdbār,1128239,57.2,28,41,0.51,30.15,62.6
103,Mahébourg,934322,78.8,89,40,3.6,-20.4081,57.7
104,Mount Isa,2065594,100.4,22,75,5.14,-20.7333,139.5
105,Cururupu,3401148,77.18000000000004,87,94,2.1,-1.8283,-44.8683
106,Saryg-Sep,1492948,22.51400000000003,92,100,4.17,51.5,95.6
107,Arroyo de la Encomienda,3129371,47.13800000000005,87,90,9.26,41.6096,-4.7969
108,Chui,3443061,67.24400000000007,92,2,0.54,-33.6971,-53.4616
109,Waipawa,2206874,63.82400000000001,55,31,8.75,-41.4122,175.5153
110,Gresham,5729485,42.40400000000005,81,90,2.21,45.4982,-122.4315
111,Dakar,2253354,66.2,52,0,7.2,14.6937,-17.4441
112,Deputatsky,2028164,-29.001999999999974,87,100,1.03,69.3,139.9
113,Okhotsk,2122605,-5.7099999999999795,85,0,4.56,59.3833,143.3
114,Mahabalipuram,1263997,80.6,74,40,2.06,12.6264,80.1722
115,Samaná,3492997,71.87000000000006,88,29,5.42,19.2056,-69.3369
116,Bubaque,2374583,78.18800000000005,65,0,4.14,11.2833,-15.8333
117,Praia,3374333,73.4,53,0,7.72,14.9215,-23.5087
118,Øksfjord,778362,14.162000000000056,67,90,2.57,70.2396,22.3479
119,San Cristobal,3628473,63.48200000000001,76,35,0.69,7.7669,-72.225
120,Berdigestyakh,2026861,-40.48599999999996,78,100,0.34,62.0989,126.6992
121,Puerto Baquerizo Moreno,3652758,77.57600000000009,83,60,3.95,-0.9,-89.6
122,Zheleznogorsk,463343,20.408000000000005,97,98,6.14,52.331,35.3711
123,Santarém,3389353,78.8,89,40,3.6,-2.4431,-54.7083
124,Benguela,3351663,74.192,81,96,1.82,-12.5763,13.4055
125,Fagersta,2715656,-0.30999999999998096,77,46,1.54,60.0042,15.7932
126,Bengkulu,1649150,85.33399999999999,62,98,1.61,-3.8004,102.2655
127,Kapaa,5848280,73.184,78,75,8.75,22.0752,-159.319
128,Manyana,933416,67.892,75,98,2.61,-23.4,21.7167
129,Alofi,4036284,80.6,89,100,3.6,-19.0595,-169.9187
130,Krasnoarmeysk,542464,26.00600000000003,97,100,1.34,51.0239,45.6969
131,Moerai,4034188,80.99600000000005,70,18,5.85,-22.4333,-151.3333
132,Muzhi,1498161,-31.917999999999985,83,100,1.96,65.3667,64.6667
133,Kiama,2161515,80.72600000000008,83,76,6.71,-34.6833,150.8667
134,Saint George,5546220,36.71600000000001,93,75,3.09,37.1041,-113.5841
135,Katsuura,2112309,46.202000000000076,21,20,6.17,35.1333,140.3
136,Alice Springs,2077895,95.27000000000007,32,40,6.17,-23.7,133.8833
137,Marsabit,187585,62.22200000000004,97,8,6.23,2.3284,37.9899
138,Arrondissement de Saint-Denis,2980915,47.06600000000001,93,90,3.09,48.9167,2.3333
139,Iquitos,3696183,77.0,88,75,1.03,-3.7481,-73.2472
140,Egvekinot,4031742,-22.701999999999977,84,0,2.96,66.3167,-179.1667
141,San Quintín,3984997,55.958000000000006,76,0,3.57,30.4833,-115.95
142,Norman Wells,6089245,-34.59999999999995,74,40,1.03,65.282,-126.8329
143,Porto-Novo,2392087,78.8,89,20,1.54,6.4965,2.6036
144,Saint-Louis,2246451,69.20600000000003,21,23,4.71,16.3333,-15.0
145,São Paulo de Olivença,3662252,72.80600000000003,97,69,0.48,-3.3783,-68.8725
146,Talnakh,1490256,-30.909999999999982,66,0,1.88,69.4865,88.3972
147,Thompson,6165406,10.399999999999999,85,90,2.06,55.7435,-97.8558
148,Solnechnyy,2016307,-2.217999999999982,87,100,1.39,50.7214,136.6319
149,Paamiut,3421193,34.32200000000004,80,100,4.29,61.994,-49.6678
150,Dikson,1507390,-33.91599999999997,84,96,3.36,73.5069,80.5464
151,Fuerte Olimpo,3438102,73.292,93,96,2.42,-21.0415,-57.8738
152,Diego de Almagro,3892454,57.43399999999999,57,0,0.87,-26.3667,-70.05
153,Moose Factory,6078372,-1.3179999999999836,84,90,3.09,51.2585,-80.6094
154,Devonport,2168943,75.00200000000008,62,43,0.89,-41.1667,146.35
155,Geraldton,2070998,102.2,16,0,4.12,-28.7667,114.6
156,Neiafu,4032420,80.6,89,75,5.14,-18.65,-173.9833
157,Codrington,2171099,62.94199999999999,71,100,5.9,-38.2667,141.9667
158,Vila Velha,3445026,77.0,83,20,3.09,-20.3297,-40.2925
159,La Libertad,3655131,78.26000000000008,86,42,4.64,-2.2333,-80.9
160,Capitán Bado,3439189,70.26800000000009,94,43,4.8,-23.2667,-55.5333
161,Otukpo,2328113,67.53200000000001,57,61,1.55,7.1913,8.1329
162,Torbay,6167817,25.412000000000056,93,90,9.26,47.6666,-52.7314
163,Bayanday,2027004,2.983999999999991,92,100,1.57,53.0661,105.5139
164,Nishihara,1855342,64.92200000000004,34,40,4.63,26.1842,127.7558
165,Tshikapa,204953,69.908,92,100,1.09,-6.4167,20.8
166,Bograd,1509847,23.0,68,0,4.0,54.2344,90.8328
167,Leh,1264976,3.6320000000000157,67,0,0.79,34.1667,77.5833
168,Pemangkat,1631637,76.64000000000001,89,100,3.59,1.1667,108.9667
169,Sturgeon Falls,5952554,5.0,78,90,1.54,46.3646,-79.9326
170,Portland,5746545,42.42200000000004,76,90,3.6,45.5234,-122.6762
171,Constitución,3893726,61.30400000000005,95,100,4.13,-35.3333,-72.4167
172,Siilinjärvi,636947,21.2,86,90,3.09,63.0833,27.6667
173,Klaksvík,2618795,32.0,69,75,4.63,62.2266,-6.589
174,Puerto Carreño,3671519,79.50200000000008,61,70,4.47,6.189,-67.4859
175,Destin,4153188,43.28600000000007,81,1,2.26,30.3935,-86.4958
176,La Asuncion,3480908,74.82200000000003,88,66,4.9,11.0333,-63.8628
177,Khatanga,2022572,-43.185999999999964,75,1,1.4,71.9667,102.5
178,Lewistown,5197850,24.35,68,90,3.6,40.5992,-77.5714
179,Saint-Augustin,6137462,12.649999999999999,91,26,5.25,51.226,-58.6502
180,Souillac,933995,78.8,89,40,3.6,-20.5167,57.5167
181,Hasaki,2112802,45.14000000000002,23,20,9.26,35.7333,140.8333
182,São Filipe,3374210,74.858,54,98,4.3,14.8961,-24.4956
183,Kangaatsiaq,3422683,5.612000000000059,94,42,1.39,68.3065,-53.4641
184,New Norfolk,2155415,69.04400000000007,50,75,5.14,-42.7826,147.0587
185,Menongue,3347353,61.141999999999996,95,77,1.72,-14.6585,17.691
186,Buala,2109528,84.59600000000005,76,99,5.44,-8.145,159.5921
187,Djibo,2361177,67.442,23,49,4.45,14.1022,-1.6306
188,Ponta do Sol,2264557,52.97000000000006,75,16,1.34,32.6667,-17.1
189,Hervey Bay,2146219,84.12800000000007,61,75,7.72,-25.2986,152.8535
190,Castro,3466704,62.582000000000015,95,100,1.38,-24.7911,-50.0119
191,Kavieng,2094342,84.542,76,100,6.52,-2.5744,150.7967
192,Grindavik,3416888,33.8,80,75,2.57,63.8424,-22.4338
193,Chapais,5919850,-0.39999999999994884,78,90,3.6,49.7834,-74.8492
194,Skellefteå,602913,5.144000000000073,92,90,4.12,64.7507,20.9528
195,Coquimbo,3893629,62.6,82,0,1.54,-29.9533,-71.3436
196,Katherine,2068655,86.0,66,90,5.66,-14.4667,132.2667
197,Ahipara,2194098,67.78399999999999,64,63,1.98,-35.1667,173.1667
198,Lethbridge,6053154,11.678000000000065,92,90,2.06,49.7,-112.8186
199,Jiangyou,1885823,56.3,39,71,1.4,31.7667,104.7167
200,Nizhniy Odes,520552,-2.5779999999999603,91,100,5.82,63.6445,54.856
201,San Rafael,3836669,64.45400000000005,64,100,6.46,-34.6177,-68.3301
202,Lebu,3883457,56.89400000000008,90,96,2.72,-37.6167,-73.65
203,Bouca,2387890,67.40600000000003,35,62,0.5,6.5105,18.2733
204,Saint Anthony,5044290,24.314000000000032,58,90,6.17,45.0205,-93.218
205,Kholodnyy,2124611,-22.431999999999974,82,99,1.68,62.7167,147.95
206,Pozo Colorado,3437443,80.34800000000003,74,99,4.58,-23.4923,-58.7972
207,Necochea,3430443,64.99400000000007,72,58,5.77,-38.5473,-58.7368
208,Anadyr,2127202,-20.091999999999942,69,0,4.0,64.75,177.4833
209,Nantucket,4944903,22.028000000000066,79,90,9.26,41.2835,-70.0995
210,Metro,1635283,84.05600000000003,71,42,6.62,-5.1131,105.3067
211,Cidreira,3466165,74.82200000000003,90,49,2.04,-30.1811,-50.2056
212,Quelimane,1028434,77.558,89,99,0.39,-17.8786,36.8883
213,Capaci,2525392,60.8,72,40,8.23,38.1711,13.2393
214,North Bend,5742974,42.314000000000036,97,100,0.45,43.4065,-124.2243
215,Araouane,2460954,63.338000000000044,25,0,4.8,18.9048,-3.5265
216,Jimo,1805757,50.0,43,0,2.0,36.3897,120.4622
217,Moranbah,6533368,88.97000000000006,43,22,6.98,-22.0016,148.0466
218,Dunedin,2191562,55.004000000000055,71,5,4.02,-45.8742,170.5036
219,Hobyo,57000,75.86600000000001,76,32,7.1,5.3505,48.5268
220,Catió,2373526,68.48600000000008,82,0,1.05,11.2833,-15.25
221,Esperance,2071860,75.2,43,0,6.17,-33.8667,121.9
222,Kutum,371745,49.92800000000007,42,0,4.8,14.2,24.6667
223,Olafsvik,3414079,28.760000000000083,97,100,8.42,64.8945,-23.7142
224,Inírida,3671450,76.04600000000005,77,98,0.65,3.8653,-67.9239
225,Kashgar,1280849,24.8,54,0,4.0,39.4547,75.9797
226,Vao,2137773,76.28000000000004,75,31,8.91,-22.6667,167.4833
227,Bridlington,2654728,35.99600000000005,86,100,3.58,54.0831,-0.1919
228,Talaya,2120769,-26.661999999999956,81,100,2.28,61.3833,152.75
229,Mount Gambier,2156643,66.2,63,90,5.66,-37.8333,140.7667
230,Lorengau,2092164,83.48000000000005,80,100,4.16,-2.0226,147.2712
231,Contai,1344069,70.71800000000009,35,10,5.01,21.7786,87.7536
232,Upernavik,3418910,-8.823999999999963,83,0,4.56,72.7868,-56.1549
233,Beyla,2423126,66.59600000000005,39,0,0.79,8.6833,-8.6333
234,San Patricio,4726521,66.74000000000002,77,90,7.2,28.017,-97.5169
235,Lamas,3695757,66.92000000000006,95,45,1.14,-6.4167,-76.5333
236,Shchigry,495206,24.422000000000036,93,90,4.0,51.8755,36.9043
237,Clyde River,5924351,-16.59999999999995,83,1,2.57,70.4692,-68.5914
238,Manokwari,1636308,83.408,64,91,1.73,-0.8667,134.0833
239,Watsa,204283,70.71800000000009,50,87,0.68,3.0372,29.5355
240,Palmer,4946620,7.7720000000000375,61,1,3.09,42.1584,-72.3287
241,Buenavista,1723481,84.52400000000002,64,77,1.37,8.9769,125.4089
242,Richards Bay,962367,71.88800000000005,89,66,0.88,-28.783,32.0377
243,Huarmey,3939168,71.09600000000005,74,96,2.83,-10.0681,-78.1522
244,Katobu,1640972,87.42200000000004,59,99,2.85,-4.9408,122.5276
245,Salym,1493162,-21.945999999999948,85,91,3.27,60.0625,71.4789
246,Luanda,2240449,78.8,83,40,3.09,-8.8368,13.2343
247,Arraial do Cabo,3471451,76.83800000000005,84,77,11.01,-22.9661,-42.0278
248,Boyolangu,1648082,82.41800000000009,74,100,1.74,-8.1181,111.8935
249,San Policarpo,1688696,78.908,81,100,10.39,12.1791,125.5072
250,Coyhaique,3894426,44.6,81,0,1.03,-45.5752,-72.0662
251,Tilichiki,2120591,-1.4079999999999515,94,100,5.46,60.4667,166.1
252,Yaan,2338660,69.15200000000007,71,39,2.18,7.3833,8.5667
253,Cacoal,3925212,73.16600000000001,94,100,0.73,-11.4386,-61.4472
254,Vostok,2013279,-4.647999999999975,88,99,2.03,46.4856,135.8833
255,Mackay,2159220,86.792,66,40,9.26,-21.15,149.2
256,Qiongshan,1797535,68.0,83,75,7.0,20.0058,110.3542
257,Samarai,2132606,84.18200000000002,74,100,2.46,-10.6167,150.6667
258,Baruun-Urt,2032614,2.768000000000086,93,84,4.73,46.6806,113.2792
259,Ciudad del Carmen,3530599,72.64400000000008,82,100,6.16,18.6333,-91.8333
260,Bariloche,7647007,53.6,71,0,3.09,-41.1456,-71.3082
261,Bandarbeyla,64814,73.38200000000002,73,27,5.28,9.4942,50.8122
262,Aklavik,5882953,-29.99199999999994,68,93,0.1,68.2191,-135.0107
263,Pevek,2122090,-30.081999999999972,85,21,1.63,69.7008,170.3133
264,Coihueco,3894406,60.8,100,90,4.12,-36.6167,-71.8333
265,Saldanha,3361934,65.53399999999999,80,60,4.83,-33.0117,17.9442
266,Yulara,6355222,93.2,31,100,8.23,-25.2406,130.9889
267,Lagoa,3372964,60.13399999999999,83,100,8.94,39.05,-27.9833
268,Quatre Cocos,1106643,81.53600000000007,89,40,3.6,-20.2078,57.7625
269,Nelson Bay,2155562,81.69800000000002,69,40,4.63,-32.7167,152.15
270,Touros,3386213,77.0,83,40,2.06,-5.1989,-35.4608
271,Tabory,1490364,9.446000000000048,95,100,4.3,58.5198,64.5495
272,Beringovskiy,2126710,-18.147999999999975,83,0,4.59,63.05,179.3167
273,Cayenne,3382160,75.2,100,75,6.17,4.9333,-52.3333
